Margherita;Pomodoro, mozzarella;3,50
Calzone;Pomodoro, mozzarella, prosciutto, funghi champignon, ricotta, grana in cottuna;4,50
Capricciosa;Pomodoro, mozzarella, prosciutto, funghi champignon, carciofi, capperi, olive nere, origano;5,00
Classica;Pomodoro, mozzarella, prosciutto, funghi champignon, salamino piccante;4,00
Diavola;Pomodoro, mozzarella, salamino piccante;4,00
Funghi;Pomodoro, mozzarella, funghi champignon;4,00
Napoletana;Pomodoro, mozzarella, capperi, acciughe, origano, pomodorini cirietto, grana in cottura;5,00
Parma;Pomdoro, mozzarella, crudo di parma;5,00
Parmigiana;Pomodoro, mozzarella, melanzane grigliate,grana in cottura;4,50
Ortolana;Pomodoro, mozzarella, zucchine e melanzane grigliate, patate e peperoni al forno, spinaci, pomodorini ciliegino, grana in cottura;6,00
